FPS = 285, средний = 281, полный = 281
FPS = 354, средний = 317, полный = 634
FPS = 407, средний = 347, полный = 1041
FPS = 417, средний = 364, полный = 1457
FPS = 436, средний = 378, полный = 1891
FPS = 403, средний = 382, полный = 2293
FPS = 367, средний = 379, полный = 2659
FPS = 420, средний = 384, полный = 3079
FPS = 410, средний = 387, полный = 3488
FPS = 405, средний = 389, полный = 3892
FPS = 392, средний = 389, полный = 4284
FPS = 381, средний = 388, полный = 4665
FPS = 408, средний = 390, полный = 5073
FPS = 425, средний = 392, полный = 5497
FPS = 411, средний = 393, полный = 5907
FPS = 408, средний = 394, полный = 6314
FPS = 397, средний = 394, полный = 6710
FPS = 414, средний = 395, полный = 7124
FPS = 405, средний = 396, полный = 7529
FPS = 409, средний = 396, полный = 7938
FPS = 415, средний = 397, полный = 8352
FPS = 396, средний = 397, полный = 8748
FPS = 416, средний = 398, полный = 9164
FPS = 405, средний = 398, полный = 9569
FPS = 426, средний = 399, полный = 9994
FPS = 452, средний = 401, полный = 10445
FPS = 385, средний = 401, полный = 10829
FPS = 386, средний = 400, полный = 11214
FPS = 406, средний = 400, полный = 11619
FPS = 376, средний = 399, полный = 11994
FPS = 374, средний = 398, полный = 12367
FPS = 381, средний = 398, полный = 12747
FPS = 409, средний = 398, полный = 13155
FPS = 414, средний = 399, полный = 13568
FPS = 389, средний = 398, полный = 13955
FPS = 354, средний = 397, полный = 14308
FPS = 386, средний = 397, полный = 14694
FPS = 376, средний = 396, полный = 15069
FPS = 368, средний = 395, полный = 15436
FPS = 398, средний = 395, полный = 15833
FPS = 358, средний = 394, полный = 16189
FPS = 368, средний = 394, полный = 16556
FPS = 371, средний = 393, полный = 16926
FPS = 354, средний = 392, полный = 17279
FPS = 381, средний = 392, полный = 17659
FPS = 368, средний = 391, полный = 18026
FPS = 401, средний = 392, полный = 18426
FPS = 406, средний = 392, полный = 18831
FPS = 391, средний = 392, полный = 19221
FPS = 392, средний = 392, полный = 19612
FPS = 394, средний = 392, полный = 20005
FPS = 391, средний = 392, полный = 20395
FPS = 404, средний = 392, полный = 20798
FPS = 381, средний = 392, полный = 21178
FPS = 394, средний = 392, полный = 21571
FPS = 398, средний = 392, полный = 21969
FPS = 386, средний = 392, полный = 22354
FPS = 387, средний = 392, полный = 22741
FPS = 402, средний = 392, полный = 23142
FPS = 386, средний = 392, полный = 23528
FPS = 374, средний = 391, полный = 23901
FPS = 387, средний = 391, полный = 24287
FPS = 392, средний = 391, полный = 24679
FPS = 375, средний = 391, полный = 25053
FPS = 404, средний = 391, полный = 25456
FPS = 383, средний = 391, полный = 25838
FPS = 392, средний = 391, полный = 26230
FPS = 387, средний = 391, полный = 26617
FPS = 386, средний = 391, полный = 27002
FPS = 391, средний = 391, полный = 27393
FPS = 393, средний = 391, полный = 27786
FPS = 419, средний = 391, полный = 28204
FPS = 384, средний = 391, полный = 28587
FPS = 376, средний = 391, полный = 28962
FPS = 380, средний = 391, полный = 29341
FPS = 355, средний = 390, полный = 29694
FPS = 397, средний = 390, полный = 30090
FPS = 377, средний = 390, полный = 30466
FPS = 383, средний = 390, полный = 30848
FPS = 380, средний = 390, полный = 31227
FPS = 382, средний = 390, полный = 31608
FPS = 386, средний = 390, полный = 31993
FPS = 364, средний = 389, полный = 32356
FPS = 379, средний = 389, полный = 32734
FPS = 370, средний = 389, полный = 33103
FPS = 374, средний = 389, полный = 33476
FPS = 376, средний = 389, полный = 33852
FPS = 360, средний = 388, полный = 34211
FPS = 400, средний = 388, полный = 34610
FPS = 372, средний = 388, полный = 34982
FPS = 369, средний = 388, полный = 35349
FPS = 395, средний = 388, полный = 35743
FPS = 397, средний = 388, полный = 36138
FPS = 381, средний = 388, полный = 36519
FPS = 385, средний = 388, полный = 36902
FPS = 380, средний = 388, полный = 37281
FPS = 386, средний = 388, полный = 37666
FPS = 371, средний = 388, полный = 38036
FPS = 430, средний = 388, полный = 38465
FPS = 417, средний = 388, полный = 38880
FPS = 385, средний = 388, полный = 39264
FPS = 398, средний = 388, полный = 39661
FPS = 394, средний = 388, полный = 40053
FPS = 379, средний = 388, полный = 40431
FPS = 393, средний = 388, полный = 40824
FPS = 401, средний = 388, полный = 41225
FPS = 358, средний = 388, полный = 41582
FPS = 405, средний = 388, полный = 41986
FPS = 374, средний = 388, полный = 42360
FPS = 376, средний = 388, полный = 42736
FPS = 380, средний = 388, полный = 43116
FPS = 376, средний = 388, полный = 43491
FPS = 376, средний = 388, полный = 43866
FPS = 372, средний = 388, полный = 44237
FPS = 370, средний = 387, полный = 44607
FPS = 364, средний = 387, полный = 44970
FPS = 368, средний = 387, полный = 45336
FPS = 392, средний = 387, полный = 45727
FPS = 378, средний = 387, полный = 46105
FPS = 380, средний = 387, полный = 46485
FPS = 401, средний = 387, полный = 46885
FPS = 355, средний = 387, полный = 47239
FPS = 379, средний = 387, полный = 47618
FPS = 398, средний = 387, полный = 48015
FPS = 364, средний = 387, полный = 48378
FPS = 360, средний = 386, полный = 48737
FPS = 369, средний = 386, полный = 49105
FPS = 389, средний = 386, полный = 49493
FPS = 381, средний = 386, полный = 49873
FPS = 382, средний = 386, полный = 50254
FPS = 384, средний = 386, полный = 50637
FPS = 370, средний = 386, полный = 51006
FPS = 378, средний = 386, полный = 51382
FPS = 391, средний = 386, полный = 51772
FPS = 393, средний = 386, полный = 52163
FPS = 412, средний = 386, полный = 52574
FPS = 363, средний = 386, полный = 52935
FPS = 382, средний = 386, полный = 53317
FPS = 153, средний = 384, полный = 53470
