FPS = 333, средний = 331, полный = 331
FPS = 554, средний = 442, полный = 884
FPS = 606, средний = 496, полный = 1489
FPS = 549, средний = 508, полный = 2035
FPS = 465, средний = 499, полный = 2499
FPS = 498, средний = 499, полный = 2996
FPS = 461, средний = 493, полный = 3453
FPS = 452, средний = 486, полный = 3895
FPS = 422, средний = 479, полный = 4315
FPS = 449, средний = 476, полный = 4763
FPS = 472, средний = 475, полный = 5234
FPS = 497, средний = 477, полный = 5730
FPS = 496, средний = 478, полный = 6225
FPS = 523, средний = 481, полный = 6747
FPS = 600, средний = 489, полный = 7346
FPS = 637, средний = 498, полный = 7982
FPS = 557, средний = 502, полный = 8538
FPS = 494, средний = 501, полный = 9031
FPS = 479, средний = 500, полный = 9508
FPS = 458, средний = 498, полный = 9963
FPS = 475, средний = 497, полный = 10437
FPS = 477, средний = 496, полный = 10913
FPS = 468, средний = 494, полный = 11379
FPS = 473, средний = 493, полный = 11851
FPS = 502, средний = 494, полный = 12351
FPS = 478, средний = 493, полный = 12827
FPS = 503, средний = 493, полный = 13329
FPS = 600, средний = 497, полный = 13926
FPS = 603, средний = 500, полный = 14528
FPS = 616, средний = 504, полный = 15142
FPS = 607, средний = 507, полный = 15747
FPS = 531, средний = 508, полный = 16277
FPS = 624, средний = 512, полный = 16899
FPS = 726, средний = 518, полный = 17624
FPS = 649, средний = 522, полный = 18271
FPS = 432, средний = 519, полный = 18702
FPS = 583, средний = 521, полный = 19284
FPS = 682, средний = 525, полный = 19965
FPS = 726, средний = 530, полный = 20689
FPS = 668, средний = 533, полный = 21356
FPS = 803, средний = 540, полный = 22158
FPS = 803, средний = 546, полный = 22960
FPS = 806, средний = 552, полный = 23765
FPS = 808, средний = 558, полный = 24572
FPS = 804, средний = 563, полный = 25374
FPS = 809, средний = 569, полный = 26182
FPS = 804, средний = 574, полный = 26985
FPS = 759, средний = 577, полный = 27743
FPS = 692, средний = 580, полный = 28433
FPS = 621, средний = 581, полный = 29053
FPS = 541, средний = 580, полный = 29593
FPS = 500, средний = 578, полный = 30092
FPS = 485, средний = 576, полный = 30576
FPS = 571, средний = 576, полный = 31145
FPS = 661, средний = 578, полный = 31804
FPS = 649, средний = 579, полный = 32452
FPS = 618, средний = 580, полный = 33069
FPS = 653, средний = 581, полный = 33722
FPS = 669, средний = 582, полный = 34389
FPS = 705, средний = 584, полный = 35092
FPS = 708, средний = 586, полный = 35799
FPS = 704, средний = 588, полный = 36502
FPS = 703, средний = 590, полный = 37204
FPS = 649, средний = 591, полный = 37851
FPS = 706, средний = 593, полный = 38556
FPS = 697, средний = 594, полный = 39252
FPS = 711, средний = 596, полный = 39961
FPS = 706, средний = 598, полный = 40666
FPS = 712, средний = 599, полный = 41375
FPS = 713, средний = 601, полный = 42087
FPS = 712, средний = 602, полный = 42797
FPS = 715, средний = 604, полный = 43511
FPS = 685, средний = 605, полный = 44195
FPS = 663, средний = 606, полный = 44857
FPS = 682, средний = 607, полный = 45537
FPS = 680, средний = 608, полный = 46215
FPS = 622, средний = 608, полный = 46836
FPS = 662, средний = 608, полный = 47496
FPS = 752, средний = 610, полный = 48247
FPS = 721, средний = 612, полный = 48967
FPS = 621, средний = 612, полный = 49587
FPS = 713, средний = 613, полный = 50299
FPS = 702, средний = 614, полный = 50999
FPS = 723, средний = 615, полный = 51720
FPS = 689, средний = 616, полный = 52408
FPS = 628, средний = 616, полный = 53035
FPS = 683, средний = 617, полный = 53717
FPS = 229, средний = 613, полный = 53946
