FPS = 386, средний = 380, полный = 380
FPS = 424, средний = 385, полный = 771
FPS = 378, средний = 382, полный = 1147
FPS = 461, средний = 401, полный = 1607
FPS = 497, средний = 420, полный = 2103
FPS = 446, средний = 424, полный = 2548
FPS = 522, средний = 438, полный = 3069
FPS = 529, средний = 449, полный = 3597
FPS = 468, средний = 451, полный = 4064
FPS = 450, средний = 451, полный = 4513
FPS = 462, средний = 452, полный = 4973
FPS = 499, средний = 455, полный = 5471
FPS = 498, средний = 459, полный = 5968
FPS = 500, средний = 461, полный = 6466
FPS = 485, средний = 463, полный = 6950
FPS = 502, средний = 465, полный = 7451
FPS = 523, средний = 469, полный = 7973
FPS = 522, средний = 471, полный = 8494
FPS = 535, средний = 475, полный = 9029
FPS = 478, средний = 475, полный = 9507
FPS = 472, средний = 475, полный = 9978
FPS = 485, средний = 475, полный = 10461
FPS = 518, средний = 477, полный = 10978
FPS = 518, средний = 478, полный = 11495
FPS = 516, средний = 480, полный = 12010
FPS = 524, средний = 482, полный = 12533
FPS = 503, средний = 482, полный = 13035
FPS = 520, средний = 484, полный = 13553
FPS = 516, средний = 485, полный = 14068
FPS = 512, средний = 485, полный = 14577
FPS = 513, средний = 486, полный = 15089
FPS = 520, средний = 487, полный = 15608
FPS = 605, средний = 491, полный = 16212
FPS = 182, средний = 482, полный = 16394
